epoch,time_s,train_acc,test_acc
1,23.1,53.2,56.8
2,37.8,80.2,90.6
3,52.6,82.6,93.2
4,68.3,84.4,90.8
5,84.2,85.0,92.8
6,98.9,86.0,93.0
7,113.7,87.4,92.2
8,128.6,91.0,93.8
9,143.3,88.8,93.0
10,158.3,87.0,91.6
11,172.4,88.0,90.6
12,187.0,88.4,93.6
13,201.5,87.8,93.6
14,215.8,90.8,94.2
15,230.2,89.2,94.0
16,245.2,88.2,94.0
17,259.8,88.6,93.8
18,274.5,89.6,93.6
19,289.5,90.8,94.2
20,304.2,90.6,93.8
21,318.7,90.8,94.2
22,333.4,90.0,93.8
23,348.0,89.4,93.8
24,362.7,91.0,93.6
25,377.5,90.8,94.0
26,392.2,88.4,94.2
27,406.9,90.0,93.8
28,421.6,91.0,94.2
29,436.2,90.8,94.0
30,450.8,91.8,94.6
31,465.3,91.6,93.8
32,479.9,90.4,94.2
33,494.4,92.2,94.0
34,508.9,92.6,93.6
35,523.6,90.4,94.2
36,538.1,91.0,94.4
37,552.7,91.6,94.4
38,567.3,91.8,93.8
39,581.8,92.8,94.4
40,596.0,92.6,94.4
41,610.6,91.2,94.8
42,625.0,92.8,95.2
43,639.5,92.6,94.8
44,653.9,93.0,95.0
45,668.4,93.0,94.6
46,682.9,93.6,94.8
47,697.3,92.6,94.8
48,711.6,93.2,95.0
49,726.6,93.6,95.2
50,741.0,93.4,95.0
51,755.4,93.6,95.2
52,769.8,94.0,94.8
53,784.3,93.2,95.2
54,798.7,92.8,95.2
55,813.3,92.8,95.2
56,827.7,94.2,95.0
57,842.3,94.6,95.2
58,856.8,94.0,95.2
59,871.2,93.8,95.2
60,885.8,95.0,95.2
61,900.2,94.8,95.2
62,914.6,94.4,95.2
63,929.2,94.2,95.2
64,943.7,88.0,93.2
65,958.1,90.2,93.4
66,972.6,89.2,94.0
67,987.0,90.6,86.6
68,1001.5,90.0,94.2
69,1016.0,90.6,94.2
70,1030.6,90.4,94.6
71,1045.5,90.4,94.2
72,1060.1,91.2,93.6
